Job,CompanyName,Location,KeySkills,PostedDate,Link
Senior RTL Design Engineer,Incise Infotech,"Noida, Bangalore/Bengaluru","['Lint', 'RTL Coding', 'verilog', 'rtl', 'soc', 'cdc', 'design', 'coding']",Just Now,https://www.naukri.com/job-listings-senior-rtl-design-engineer-incise-infotech-noida-bangalore-bengaluru-3-to-8-years-110323006407
Senior Design Verification Engineer,Incise Infotech,Noida,"['SOC', 'Digital', 'System Verilog', 'uvm', 'pcie', 'design verification', 'ip', 'verification']",Just Now,https://www.naukri.com/job-listings-senior-design-verification-engineer-incise-infotech-noida-5-to-10-years-110323006406
Senior Embedded Validation Engineer,Incise Infotech,Bangalore/Bengaluru,"['Validation', 'Embedded', 'automotive', 'embedded systems', 'data validation', 'senior', 'c']",Just Now,https://www.naukri.com/job-listings-senior-embedded-validation-engineer-incise-infotech-bangalore-bengaluru-10-to-20-years-110323006405
Production Engineer,RVR Machinery Manufacturers (p) Ltd,"Sulur, Coimbatore","['Industrial Engineering', '2D', 'Production Planning Control', 'Production Engineering', 'Lean Manufacturing', 'modeling', 'solid', '3d model']",Just Now,https://www.naukri.com/job-listings-production-engineer-rvr-machinery-manufacturers-p-ltd-sulur-coimbatore-1-to-4-years-110323006404
Design Engineer,RVR Machinery Manufacturers (p) Ltd,"Sulur, Coimbatore","['2D', 'Design Engineering', 'Cost Estimation', '3D Modeling', 'Solid Works', 'draw', 'modeling', 'cost']",Just Now,https://www.naukri.com/job-listings-design-engineer-rvr-machinery-manufacturers-p-ltd-sulur-coimbatore-1-to-4-years-110323006402
Advanced Python Developer,Etel,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","['Advanced Python', 'software testing', 'framework', 'python framework', 'python testing', 'mongodb', 'development', 'python development']",Just Now,https://www.naukri.com/job-listings-advanced-python-developer-etel-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-8-years-110323006400
Vacancy For Biomedical Engineer,Prashanti Medical Services And Research Foundation,Ahmedabad(Bavla +1),"['Biomedical', 'equipment', 'medical', 'medical equipment', 'devices', 'biomedical engineering', 'medical devices']",Just Now,https://www.naukri.com/job-listings-vacancy-for-biomedical-engineer-prashanti-medical-services-and-research-foundation-ahmedabad-2-to-4-years-200922008205
Fullstack Developer,Renevik,Ahmedabad,"['Ui/Ux', 'PHP', 'communication skills', 'Html/Css']",Just Now,https://www.naukri.com/job-listings-fullstack-developer-renevik-ahmedabad-5-to-9-years-110323006395
Android Frameworks Developer : Webrtc / SDK,Dev Solutions,Bangalore/Bengaluru,"['Android Framework', 'Android SDK', 'Webrtc', 'sdk', 'software development', 'android application development', 'program', 'open']",Just Now,https://www.naukri.com/job-listings-android-frameworks-developer-webrtc-sdk-dev-solutions-bangalore-bengaluru-4-to-9-years-140121005478
React.js/Vue.js Full Stack Developers needed For a US Co,Dev Solutions,"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","['Vue.Js', 'Javascript', 'React.Js', 'github', 'docker', 'mysql', 'node.js', 'aws']",Just Now,https://www.naukri.com/job-listings-react-js-vue-js-full-stack-developers-needed-for-a-us-co-dev-solutions-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-190721000092
Senior Android Developer (FireTV/OTT),Dev Solutions,Temp. WFH - Bangalore/Bengaluru,"['Android Development', 'OTT', 'Kotlin', 'android application development', 'sdk', 'android', 'senior', 'java']",Just Now,https://www.naukri.com/job-listings-senior-android-developer-firetv-ott-dev-solutions-bangalore-bengaluru-5-to-10-years-190721000093
Roku/Brightscript Developers needed in Bangalore / WFH..,Dev Solutions,Bangalore/Bengaluru,"['Roku', 'Brightscript', 'Roku SDK', 'web service integration', 'sdk', 'software development', 'tizen', 'integration']",Just Now,https://www.naukri.com/job-listings-roku-brightscript-developers-needed-in-bangalore-wfh-dev-solutions-bangalore-bengaluru-3-to-8-years-160421005061
"Video Player Software (Roku,Android,iOS,tvOS) Engineer",Dev Solutions,Permanent Remote,"['video streaming technologies', 'Video Player Frameworks', 'streaming', 'jenkins', 'program', 'io', 'roku', 'algorithms']",Just Now,https://www.naukri.com/job-listings-video-player-software-roku-android-ios-tvos-engineer-dev-solutions-bangalore-bengaluru-9-to-14-years-130122003619
React Developer,Dev Solutions,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)","['Fullstack Development', 'Frontend Development', 'React.Js', 'front end', 'full stack', 'development']",Just Now,https://www.naukri.com/job-listings-react-developer-dev-solutions-gurgaon-gurugram-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-020622000210
"Android Architectur (MVVM), Kotlin & Dagger Front End Developers",Dev Solutions,Bangalore/Bengaluru,"['MVVM', 'Android Framework', 'Kotlin', 'android', 'dagger', 'end', 'front end', 'front']",Just Now,https://www.naukri.com/job-listings-android-architectur-mvvm-kotlin-dagger-front-end-developers-dev-solutions-bangalore-bengaluru-3-to-7-years-091121011203
"Android Architecture, Framework, Android SDK Developers",Dev Solutions,Bangalore/Bengaluru,"['FireTV', 'Android SDK', 'Android', 'Android Application Development', 'Web Service', 'Kotlin']",Just Now,https://www.naukri.com/job-listings-android-architecture-framework-android-sdk-developers-dev-solutions-bangalore-bengaluru-4-to-9-years-120521007162
"Frontend Developer Web3 : tailwindcss, nextjs and typescript",Dev Solutions,Hybrid - Bangalore/Bengaluru,"['Frontend', 'Web3', 'tailwindcss', 'development', 'solidity', 'front end', 'frontend development', 'blockchain']",Just Now,https://www.naukri.com/job-listings-frontend-developer-web3-tailwindcss-nextjs-and-typescript-dev-solutions-bangalore-bengaluru-4-to-9-years-311022014944
Blockchain/Web3 : SDET : Software Tester,Dev Solutions,Hybrid - Bangalore/Bengaluru,"['Web3', 'SDET', 'software', 'software testing', 'web technologies', 'blockchain', 'aws']",Just Now,https://www.naukri.com/job-listings-blockchain-web3-sdet-software-tester-dev-solutions-bangalore-bengaluru-5-to-10-years-311022015009
IIT CS Computer Engineers,Dev Solutions,Permanent Remote,"['Golang', 'Data Structures', 'Microservices', 'computer', 'data', 'css', 'design patterns', 'cs']",Just Now,https://www.naukri.com/job-listings-iit-cs-computer-engineers-dev-solutions-bangalore-bengaluru-4-to-9-years-251121009060
IIT CS Web SDK / Data Structures Software Developers,Dev Solutions,Temp. WFH - Bangalore/Bengaluru,"['Data Structures', 'SDK', 'Webrtc', 'software development', 'video', 'cs', 'development', 'data']",Just Now,https://www.naukri.com/job-listings-iit-cs-web-sdk-data-structures-software-developers-dev-solutions-bangalore-bengaluru-4-to-9-years-261020002970
GoLang/AWS Software Engineers For a US MNC,Dev Solutions,Permanent Remote,"['Golang', 'Data Structures', 'AWS', 'data', 'software', 'sql', 'design patterns', 'microservices']",Just Now,https://www.naukri.com/job-listings-golang-aws-software-engineers-for-a-us-mnc-dev-solutions-bangalore-bengaluru-6-to-11-years-270322006347
IIT CS Computer Engineers,Dev Solutions,Permanent Remote,"['Golang', 'Data Structures', 'Microservices', 'computer', 'data', 'css', 'design patterns', 'cs']",Just Now,https://www.naukri.com/job-listings-iit-cs-computer-engineers-dev-solutions-bangalore-bengaluru-4-to-9-years-251121009060
IIT CS Web SDK / Data Structures Software Developers,Dev Solutions,Temp. WFH - Bangalore/Bengaluru,"['Data Structures', 'SDK', 'Webrtc', 'software development', 'video', 'cs', 'development', 'data']",Just Now,https://www.naukri.com/job-listings-iit-cs-web-sdk-data-structures-software-developers-dev-solutions-bangalore-bengaluru-4-to-9-years-261020002970
Web frameworks Software Developers with Video expertise,Dev Solutions,Bangalore/Bengaluru,"['Video', 'Data Structures', 'Javascript Frameworks', 'software development', 'web development', 'development', 'data', 'software']",Just Now,https://www.naukri.com/job-listings-web-frameworks-software-developers-with-video-expertise-dev-solutions-bangalore-bengaluru-2-to-7-years-230321009675
Exoplayer/Shaka/Video.js/his.js/AVplayer Video Software Engineers,Dev Solutions,Permanent Remote,"['Video Streaming', 'his.js', 'exoplayer', 'AVplayer', 'shaka', 'video.js']",Just Now,https://www.naukri.com/job-listings-exoplayer-shaka-video-js-his-js-avplayer-video-software-engineers-dev-solutions-bangalore-bengaluru-7-to-12-years-210122000176
Blockchain Developer - Solidity / Vyper,Dev Solutions,Temp. WFH - Bangalore/Bengaluru,"['Golang', 'Solidity', 'Vyper', 'node', 'blockchain', 'development', 'rust']",Just Now,https://www.naukri.com/job-listings-blockchain-developer-solidity-vyper-dev-solutions-bangalore-bengaluru-4-to-9-years-290822003544
Senior Web Applications Developer (JavaScript),Dev Solutions,Permanent Remote,"['CLI', 'Linux', 'API', 'python', 'php', 'web technologies', 'web application development', 'web development']",Just Now,https://www.naukri.com/job-listings-senior-web-applications-developer-javascript-dev-solutions-bangalore-bengaluru-6-to-11-years-200721000178
Go Lang Software Engineer,Dev Solutions,"Temp. WFH - Gurgaon/Gurugram, Bangalore/Bengaluru","['Databases', 'Go Lang', 'Microservices', 'aws', 'software', 'sql', 'dbms', 'golang']",Just Now,https://www.naukri.com/job-listings-go-lang-software-engineer-dev-solutions-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-190721000091
Roku Apps / Brightscript Senior Developer,Dev Solutions,Temp. WFH - Bangalore/Bengaluru,"['Roku', 'Brightscript', 'Restful Webservices', 'video', 'web services', 'senior', 'git', 'google']",Just Now,https://www.naukri.com/job-listings-roku-apps-brightscript-senior-developer-dev-solutions-bangalore-bengaluru-6-to-11-years-200721000177
Apple TV/iOS Video Player Software Developers,Dev Solutions,Permanent Remote,"['Tvos', 'Video', 'IOS', 'software development', 'development', 'io', 'software', 'apple']",Just Now,https://www.naukri.com/job-listings-apple-tv-ios-video-player-software-developers-dev-solutions-bangalore-bengaluru-9-to-14-years-050222000176
Front End Software Development : JS / React.js,Dev Solutions,"Bangalore/Bengaluru, Mumbai (All Areas)","['Javascript', 'React.Js', 'Tailwind', 'material ui', 'materials', 'end', 'angularjs', 'css']",Just Now,https://www.naukri.com/job-listings-front-end-software-development-js-react-js-dev-solutions-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-170621004332
Node Js Developer,Dev Solutions,Mumbai(Prabhadevi),"['Node Js Framework', 'framework', 'javascript', 'node', 'development', 'node.js', 'java frameworks']",Just Now,https://www.naukri.com/job-listings-node-js-developer-dev-solutions-mumbai-4-to-9-years-210922009840
SRE/DevOps Engineer,Dev Solutions,New Delhi,"['Devops Ci Cd', 'Site Reliability Engineering', 'http', 'devops', 'cd', 'continuous integration', 'https', 'reliability']",Just Now,https://www.naukri.com/job-listings-sre-devops-engineer-dev-solutions-new-delhi-5-to-10-years-240223003785
Mobile Application Developer : ReactNative,Dev Solutions,New Delhi,"['React Native', 'Mobile Application Development', 'react.js', 'mobile applications', 'mobile development', 'application development', 'native', 'development']",Just Now,https://www.naukri.com/job-listings-mobile-application-developer-reactnative-dev-solutions-new-delhi-4-to-9-years-240223003850
"DevOps Engineer :Linux, Networking, Docker, Kubernetes, AWS/Azure, Git",Dev Solutions,Mumbai(Prabhadevi),"['AWS/Azure', 'Nagios', 'Puppet/Chef/Ansible', 'microsoft azure', 'jenkins', 'github', 'docker', 'networking']",Just Now,https://www.naukri.com/job-listings-devops-engineer-linux-networking-docker-kubernetes-aws-azure-git-dev-solutions-mumbai-5-to-10-years-210922009874
Fullstack Developer Team Lead,Dev Solutions,Delhi / NCR,"['node.js', 'React.js', 'full stack', 'vue.js', 'jquery', 'development', 'angular', 'team']",Just Now,https://www.naukri.com/job-listings-fullstack-developer-team-lead-dev-solutions-delhi-ncr-6-to-11-years-240223003705
React Js Frontend Developer,Dev Solutions,Mumbai (All Areas)(Prabhadevi),"['HTML', 'React JS', 'react.js', 'ajax', 'development', 'front end', 'css', 'cs']",Just Now,https://www.naukri.com/job-listings-react-js-frontend-developer-dev-solutions-mumbai-all-areas-4-to-9-years-210922009929
"Fullstack Software Developer (Node JS, and React JS)",Dev Solutions,Mumbai (All Areas)(Prabhadevi),"['Fullstack Development', 'Node.Js', 'React.Js', 'software', 'javascript', 'full stack', 'software development', 'node']",Just Now,https://www.naukri.com/job-listings-fullstack-software-developer-node-js-and-react-js-dev-solutions-mumbai-all-areas-4-to-9-years-210922010001
.net Core Developer (Smart Metering),Dev Solutions,New Delhi,"['C#', '.Net Core', 'Power Distribution', '.net', 'nosql', 'core', 'metering', 'distribution']",Just Now,https://www.naukri.com/job-listings-net-core-developer-smart-metering-dev-solutions-new-delhi-2-to-7-years-240223003771
Web Frameworks :JavaScript SDKs Developer,Dev Solutions,Bangalore/Bengaluru,"['Java SDK', 'Web Frameworks', 'Webrtc', 'optimization techniques', 'sdk', 'sockets', 'optimization', 'java']",Just Now,https://www.naukri.com/job-listings-web-frameworks-javascript-sdks-developer-dev-solutions-bangalore-bengaluru-5-to-10-years-140121005463
Postgres SQL Developer with GIS experience,Dev Solutions,Hybrid - Noida,"['GIS', 'Postgres', 'sql', 'development', 'postgresql', 'database administration', 'gi', 'DBA']",Just Now,https://www.naukri.com/job-listings-postgres-sql-developer-with-gis-experience-dev-solutions-noida-8-to-13-years-030223012302
UI Developer - Angular Developer - Inperson on 25th March at Pune,BNY Mellon,Pune,"['UI Development', 'Angular', 'javascript', 'front', 'angular development', 'xhtml', 'cs', 'design']",Just Now,https://www.naukri.com/job-listings-ui-developer-angular-developer-inperson-on-25th-march-at-pune-bny-mellon-pune-5-to-10-years-110323006381
Piping Estimation Engineer,Cenergy Offshore,Mumbai (All Areas),"['hydraulics', 'project estimation', 'estimation', 'project', 'piping', 'piping engineering']",Just Now,https://www.naukri.com/job-listings-piping-estimation-engineer-cenergy-offshore-pvt-ltd-mumbai-all-areas-2-to-5-years-110323006377
Game Designer/Mathematician - Online Gaming Company,Brainsearch Consulting,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","['Game Designer', 'iGaming', 'Game Documentation', 'Statistics Python', 'Mathematician', 'python', 'review', 'excel']",Just Now,https://www.naukri.com/job-listings-game-designer-mathematician-online-gaming-company-brainsearch-consulting-hyderabad-secunderabad-pune-bangalore-bengaluru-3-to-7-years-110323006371
Java Full Stack Developer - Inperson Interview on 25th March,BNY Mellon,Pune,"['Java', 'Angular', 'microservices', 'java fullstack', 'boot', 'spring boot', 'fullstack development', 'spring']",Few Hours Ago,https://www.naukri.com/job-listings-java-full-stack-developer-inperson-interview-on-25th-march-bny-mellon-pune-5-to-10-years-110323006358
Appian Developer,Satellite Inc.,"Hybrid - Hyderabad/Secunderabad, Delhi / NCR, Mumbai (All Areas)","['Appian', 'automation', 'development', 'process automation', 'process', 'avaloq development', 'appian bpm', 'business process management']",Few Hours Ago,https://www.naukri.com/job-listings-appian-developer-satellite-inc-hyderabad-secunderabad-delhi-ncr-mumbai-all-areas-4-to-9-years-110323006353
